zip,lat,long,city,state,county
24569,37.064374,-79.121933,Long Island,VA,
24570,37.33361,-79.455599,Lowry,VA,
24571,37.152826,-79.329716,Lynch Station,VA,
24572,37.453102,-79.114089,Madison Heights,VA,
24574,37.541366,-79.17034,Monroe,VA,
24577,36.944179,-78.989766,Lennig,VA,
24578,37.660625,-79.533045,Natural Bridge,VA,
24579,37.595667,-79.503905,Natural Bridge S,VA,
24580,36.558558,-78.670959,Nelson,VA,
24586,36.603483,-79.298835,Ringgold,VA,
24588,37.25454,-79.121507,Rustburg,VA,
24589,36.786194,-78.786601,Scottsburg,VA,
24590,37.804937,-78.473981,Scottsville,VA,
24592,36.696335,-78.918829,South Boston,VA,
24593,37.364345,-78.905887,Spout Spring,VA,
24594,36.625831,-79.19495,Sutherlin,VA,
24597,36.786684,-79.110874,Ingram,VA,
24598,36.606231,-78.760516,Virgilina,VA,
24599,37.641473,-78.755709,Wingina,VA,
24602,37.166112,-81.6508,Bandy,VA,
24603,37.318638,-82.224596,Conaway,VA,
24605,37.249512,-81.325114,Bluefield,VA,
24609,37.079076,-81.766788,Cedar Bluff,VA,
24613,37.271023,-81.318234,Falls Mills,VA,
24614,37.296678,-82.106077,Grundy,VA,
24620,37.401741,-82.026164,Hurley,VA,
24622,37.222372,-81.810654,Jewell Valley,VA,
24627,37.200817,-82.221599,Mavisdale,VA,
24630,37.152447,-81.525256,Tiptop,VA,
24631,37.184074,-81.991577,Patterson,VA,
24633,37.235477,-81.988789,24633,VA,
24634,37.298944,-81.911896,Pilgrims Knob,VA,
24637,37.059584,-81.730052,Pounding Mill,VA,
24639,37.148056,-81.889557,Raven,VA,
24641,37.094051,-81.812286,Richlands,VA,
24646,37.127593,-82.027381,Rowe,VA,
24649,37.073792,-81.908385,Swords Creek,VA,
24651,37.107773,-81.509976,Tazewell,VA,
24656,37.173811,-82.127715,Vansant,VA,
24657,37.264409,-81.890361,Whitewood,VA,
98001,47.316339,-122.270057,Algona,WA,
98002,47.30503,-122.206741,Auburn,WA,
98003,47.3203,-122.311726,Federal Way,WA,
98004,47.619899,-122.207371,Beaux Arts,WA,
98005,47.614961,-122.166288,Bellevue,WA,
98006,47.561425,-122.155179,Bellevue,WA,
98007,47.617443,-122.142572,Bellevue,WA,
98008,47.611468,-122.116173,Bellevue,WA,
98010,47.311372,-122.005265,Black Diamond,WA,
98011,47.749692,-122.2159,Bothell,WA,
98012,47.848941,-122.206981,Mill Creek,WA,
98014,47.638007,-121.911095,Carnation,WA,
98019,47.724987,-121.936906,Duvall,WA,
